dataset_id,baseline,trial_id,case_id,conflict_label,predicted_conflict,gamma_conflict,initial_route_decision,final_route_decision,hallucination_flag,fhir_valid,fhir_validation_mode,tool_calls,latency_ms
sample_open_csv,B0,b0_data_0000,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.273
sample_open_csv,B0,b0_data_0001,sample_blur_fever,True,False,0.7384,generate_emr,generate_emr,True,True,local-structural,0,0.068
sample_open_csv,B0,b0_data_0002,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.052
sample_open_csv,B0,b0_data_0003,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.048
sample_open_csv,B0,b0_data_0004,sample_missing_text,True,True,0.3084,generate_emr,generate_emr,True,True,local-structural,0,0.046
sample_open_csv,B0,b0_data_0005,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.043
sample_open_csv,B0,b0_data_0006,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.058
sample_open_csv,B0,b0_data_0007,sample_blur_fever,True,False,0.7384,generate_emr,generate_emr,True,True,local-structural,0,0.043
sample_open_csv,B0,b0_data_0008,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.042
sample_open_csv,B0,b0_data_0009,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.042
sample_open_csv,B0,b0_data_0010,sample_missing_text,True,True,0.3084,generate_emr,generate_emr,True,True,local-structural,0,0.062
sample_open_csv,B0,b0_data_0011,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.046
sample_open_csv,B0,b0_data_0012,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.04
sample_open_csv,B0,b0_data_0013,sample_blur_fever,True,False,0.7384,generate_emr,generate_emr,True,True,local-structural,0,0.042
sample_open_csv,B0,b0_data_0014,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.04
sample_open_csv,B0,b0_data_0015,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.04
sample_open_csv,B0,b0_data_0016,sample_missing_text,True,True,0.3084,generate_emr,generate_emr,True,True,local-structural,0,0.041
sample_open_csv,B0,b0_data_0017,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.04
sample_open_csv,B0,b0_data_0018,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.042
sample_open_csv,B0,b0_data_0019,sample_blur_fever,True,False,0.7384,generate_emr,generate_emr,True,True,local-structural,0,0.061
sample_open_csv,B0,b0_data_0020,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.043
sample_open_csv,B0,b0_data_0021,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.039
sample_open_csv,B0,b0_data_0022,sample_missing_text,True,True,0.3084,generate_emr,generate_emr,True,True,local-structural,0,0.039
sample_open_csv,B0,b0_data_0023,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.04
sample_open_csv,B1,b1_data_0000,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.041
sample_open_csv,B1,b1_data_0001,sample_blur_fever,True,True,0.7384,resample_vision,resample_vision,False,False,,0,0.037
sample_open_csv,B1,b1_data_0002,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.041
sample_open_csv,B1,b1_data_0003,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.041
sample_open_csv,B1,b1_data_0004,sample_missing_text,True,True,0.3084,ask_followup,ask_followup,False,False,,1,0.034
sample_open_csv,B1,b1_data_0005,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.039
sample_open_csv,B1,b1_data_0006,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.056
sample_open_csv,B1,b1_data_0007,sample_blur_fever,True,True,0.7384,resample_vision,resample_vision,False,False,,0,0.037
sample_open_csv,B1,b1_data_0008,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.041
sample_open_csv,B1,b1_data_0009,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.044
sample_open_csv,B1,b1_data_0010,sample_missing_text,True,True,0.3084,ask_followup,ask_followup,False,False,,1,0.034
sample_open_csv,B1,b1_data_0011,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.047
sample_open_csv,B1,b1_data_0012,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.041
sample_open_csv,B1,b1_data_0013,sample_blur_fever,True,True,0.7384,resample_vision,resample_vision,False,False,,0,0.034
sample_open_csv,B1,b1_data_0014,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.04
sample_open_csv,B1,b1_data_0015,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.038
sample_open_csv,B1,b1_data_0016,sample_missing_text,True,True,0.3084,ask_followup,ask_followup,False,False,,1,0.032
sample_open_csv,B1,b1_data_0017,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.038
sample_open_csv,B1,b1_data_0018,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.04
sample_open_csv,B1,b1_data_0019,sample_blur_fever,True,True,0.7384,resample_vision,resample_vision,False,False,,0,0.056
sample_open_csv,B1,b1_data_0020,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.042
sample_open_csv,B1,b1_data_0021,sample_cold_yellow_conflict,True,True,0.3164,generate_emr,generate_emr,True,True,local-structural,0,0.045
sample_open_csv,B1,b1_data_0022,sample_missing_text,True,True,0.3084,ask_followup,ask_followup,False,False,,1,0.041
sample_open_csv,B1,b1_data_0023,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.058
sample_open_csv,B2,b2_data_0000,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.041
sample_open_csv,B2,b2_data_0001,sample_blur_fever,True,True,0.7384,human_review,human_review,False,False,,0,0.057
sample_open_csv,B2,b2_data_0002,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.051
sample_open_csv,B2,b2_data_0003,sample_cold_yellow_conflict,True,True,0.3164,query_kg,human_review,False,False,,1,0.035
sample_open_csv,B2,b2_data_0004,sample_missing_text,True,True,0.3084,ask_followup,ask_followup,False,False,,1,0.036
sample_open_csv,B2,b2_data_0005,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.037
sample_open_csv,B2,b2_data_0006,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.043
sample_open_csv,B2,b2_data_0007,sample_blur_fever,True,True,0.7384,human_review,human_review,False,False,,0,0.033
sample_open_csv,B2,b2_data_0008,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.04
sample_open_csv,B2,b2_data_0009,sample_cold_yellow_conflict,True,True,0.3164,query_kg,human_review,False,False,,1,0.034
sample_open_csv,B2,b2_data_0010,sample_missing_text,True,True,0.3084,ask_followup,ask_followup,False,False,,1,0.033
sample_open_csv,B2,b2_data_0011,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.039
sample_open_csv,B2,b2_data_0012,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.053
sample_open_csv,B2,b2_data_0013,sample_blur_fever,True,True,0.7384,human_review,human_review,False,False,,0,0.038
sample_open_csv,B2,b2_data_0014,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.04
sample_open_csv,B2,b2_data_0015,sample_cold_yellow_conflict,True,True,0.3164,query_kg,human_review,False,False,,1,0.032
sample_open_csv,B2,b2_data_0016,sample_missing_text,True,True,0.3084,ask_followup,ask_followup,False,False,,1,0.032
sample_open_csv,B2,b2_data_0017,sample_mouth_bitter,False,False,0.8272,generate_emr,generate_emr,False,False,local-structural,0,0.037
sample_open_csv,B2,b2_data_0018,sample_clear_fever,False,False,0.8464,generate_emr,generate_emr,False,True,local-structural,0,0.042
sample_open_csv,B2,b2_data_0019,sample_blur_fever,True,True,0.7384,human_review,human_review,False,False,,0,0.033
sample_open_csv,B2,b2_data_0020,sample_cold_pale,False,False,0.832,generate_emr,generate_emr,False,True,local-structural,0,0.038
sample_open_csv,B2,b2_data_0021,sample_cold_yellow_conflict,True,True,0.3164,query_kg,human_review,False,False,,1,0.033
